
## 算数・数学（単元） (116)
小1 / かずとすうじ（10までの かず）	MATH_G1_U01
中1 / 発声総仕上げ	ENGLISH_G7_U14
中1 / 復唱問題総仕上げ	ENGLISH_G7_U15
中1 / 応答問題総仕上げ	ENGLISH_G7_U16
中1 / 英単語総合	ENGLISH_G7_WORDS
中2 / 過去形	ENGLISH_G8_U01
中2 / 過去進行形	ENGLISH_G8_U02
中2 / 未来表現（will / be going to）	ENGLISH_G8_U03
中2 / 助動詞（must / have to / may など）	ENGLISH_G8_U04
中2 / 不定詞	ENGLISH_G8_U05
中2 / 動名詞	ENGLISH_G8_U06
中2 / 接続詞	ENGLISH_G8_U07
中2 / 比較（比較級・最上級）	ENGLISH_G8_U08
中2 / 受動態	ENGLISH_G8_U09
中2 / リスニング総仕上げ	ENGLISH_G8_U10
中2 / 発声総仕上げ	ENGLISH_G8_U11
中2 / 復唱問題総仕上げ	ENGLISH_G8_U12
中2 / 応答問題総仕上げ	ENGLISH_G8_U13
中2 / 英単語総合	ENGLISH_G8_WORDS
中3 / 現在完了	ENGLISH_G9_U01
中3 / 現在完了進行形	ENGLISH_G9_U02
中3 / 関係代名詞	ENGLISH_G9_U03
中3 / 間接疑問文	ENGLISH_G9_U04
中3 / 仮定法	ENGLISH_G9_U05
中3 / 分詞	ENGLISH_G9_U06
中3 / 比較の応用	ENGLISH_G9_U07
中3 / 長文読解	ENGLISH_G9_U08
中3 / 英作文	ENGLISH_G9_U09
中3 / スピーチ	ENGLISH_G9_U10
中3 / リスニング総仕上げ	ENGLISH_G9_U11
中3 / 発声総仕上げ	ENGLISH_G9_U12
中3 / 復唱問題総仕上げ	ENGLISH_G9_U13
中3 / 応答問題総仕上げ	ENGLISH_G9_U14
中3 / 英単語総合	ENGLISH_G9_WORDS

## 生活（単元） (14)
小1 / がっこうたんけん	LIFE_1_U01
小1 / がっこうのひととなかよし	LIFE_1_U02
小1 / きせつとなかよし	LIFE_1_U03
小1 / いきものとなかよし	LIFE_1_U04
小1 / はなややさいをそだてよう	LIFE_1_U05
小1 / みぢかなものあそび	LIFE_1_U06
小1 / じぶんのせいちょう	LIFE_1_U07
小2 / まちたんけん	LIFE_2_U01
小2 / まちのひととなかよし	LIFE_2_U02
小2 / きせつのしぜん	LIFE_2_U03
小2 / やさいをそだてよう	LIFE_2_U04
小2 / いきもののかんさつ	LIFE_2_U05
小2 / おもちゃづくり	LIFE_2_U06
小2 / じぶんのせいちょう	LIFE_2_U07

## 理科（単元） (72)
小3 / しぜんのかんさつ	SCIENCE_3_U01
小3 / こん虫のせい長	SCIENCE_3_U02
小3 / しょくぶつのせい長	SCIENCE_3_U03
小3 / 太陽と地面	SCIENCE_3_U04
小3 / 光	SCIENCE_3_U05
小3 / 音	SCIENCE_3_U06
小3 / 風とゴムのはたらき	SCIENCE_3_U07
小3 / 電気の通り道	SCIENCE_3_U08
小3 / ものの重さ	SCIENCE_3_U09
小3 / じしゃく	SCIENCE_3_U10
小4 / 天気と気温	SCIENCE_4_U01
小4 / 季節と生き物	SCIENCE_4_U02
小4 / 星と空	SCIENCE_4_U03
小4 / 月の動き	SCIENCE_4_U04
小4 / 電気のはたらき	SCIENCE_4_U05
小4 / 空気と水	SCIENCE_4_U06
小4 / とじこめた空気	SCIENCE_4_U07
小4 / 水のすがた	SCIENCE_4_U08
小4 / もののあたたまり方	SCIENCE_4_U09
小5 / 天気の変化	SCIENCE_5_U01
小5 / 台風と天気	SCIENCE_5_U02
小5 / 植物の発芽と成長	SCIENCE_5_U03
小5 / 花から実へ	SCIENCE_5_U04
小5 / メダカのたんじょう	SCIENCE_5_U05
小5 / 人のたんじょう	SCIENCE_5_U06
小5 / 流れる水のはたらき	SCIENCE_5_U07
小5 / 物のとけ方	SCIENCE_5_U08
小5 / 電磁石	SCIENCE_5_U09
小6 / 物の燃え方	SCIENCE_6_U01
小6 / 植物のつくりとはたらき	SCIENCE_6_U02
小6 / 人の体のつくりとはたらき	SCIENCE_6_U03
小6 / 月と太陽	SCIENCE_6_U04
小6 / てこ	SCIENCE_6_U05
小6 / 水よう液	SCIENCE_6_U06
小6 / 電気の利用	SCIENCE_6_U07
小6 / 土地のつくり	SCIENCE_6_U08
小6 / 生き物と環境	SCIENCE_6_U09
中1 / 生物の観察と分類	SCIENCE_7_U01
中1 / 植物の体のつくりとはたらき	SCIENCE_7_U02
中1 / 動物の体のつくりとはたらき	SCIENCE_7_U03
中1 / 身のまわりの物質	SCIENCE_7_U04
中1 / 気体の性質	SCIENCE_7_U05
中1 / 水溶液の性質	SCIENCE_7_U06
中1 / 光	SCIENCE_7_U07
中1 / 音	SCIENCE_7_U08
中1 / 力と圧力	SCIENCE_7_U09
中1 / 大地の変化	SCIENCE_7_U10
中1 / 火山	SCIENCE_7_U11
中1 / 地震	SCIENCE_7_U12
中1 / 地層	SCIENCE_7_U13
中2 / 生物と細胞	SCIENCE_8_U01
中2 / 植物の体のつくりとはたらき	SCIENCE_8_U02
中2 / 動物の体のつくりとはたらき	SCIENCE_8_U03
中2 / 化学変化	SCIENCE_8_U04
中2 / 原子と分子	SCIENCE_8_U05
中2 / 化学変化と質量	SCIENCE_8_U06
中2 / 電流	SCIENCE_8_U07
中2 / 電流と磁界	SCIENCE_8_U08
中2 / 天気と気象	SCIENCE_8_U09
中2 / 前線と天気	SCIENCE_8_U10
中3 / 生物の成長と生殖	SCIENCE_9_U01
中3 / 遺伝	SCIENCE_9_U02
中3 / 生物のつながり	SCIENCE_9_U03
中3 / 化学変化とイオン	SCIENCE_9_U04
中3 / 酸とアルカリ	SCIENCE_9_U05
中3 / 中和	SCIENCE_9_U06
中3 / 力の合成と分解	SCIENCE_9_U07
中3 / 運動	SCIENCE_9_U08
中3 / 仕事とエネルギー	SCIENCE_9_U09
中3 / 地球と宇宙	SCIENCE_9_U10
中3 / 太陽系	SCIENCE_9_U11
中3 / 星の動き	SCIENCE_9_U12

## 社会（単元） (84)
小3 / わたしたちの町	SOCIAL_3_U01
小3 / 地図の見方	SOCIAL_3_U02
小3 / 土地のようす	SOCIAL_3_U03
小3 / 町ではたらく人	SOCIAL_3_U04
小3 / 商店のしごと	SOCIAL_3_U05
小3 / 農家のしごと	SOCIAL_3_U06
小3 / 工場のしごと	SOCIAL_3_U07
小3 / 交通のはたらき	SOCIAL_3_U08
小3 / 市のようすのうつりかわり	SOCIAL_3_U09
小4 / 都道府県	SOCIAL_4_U01
小4 / 日本の地形	SOCIAL_4_U02
小4 / 気候	SOCIAL_4_U03
小4 / 水のしごと	SOCIAL_4_U04
小4 / ごみのしょり	SOCIAL_4_U05
小4 / 災害とくらし	SOCIAL_4_U06
小4 / 地図帳の使い方	SOCIAL_4_U07
小4 / 県のようす	SOCIAL_4_U08
小4 / 伝統文化	SOCIAL_4_U09
小5 / 日本の国土	SOCIAL_5_U01
小5 / 日本の気候	SOCIAL_5_U02
小5 / 農業	SOCIAL_5_U03
小5 / 水産業	SOCIAL_5_U04
小5 / 工業	SOCIAL_5_U05
小5 / 貿易	SOCIAL_5_U06
小5 / 情報産業	SOCIAL_5_U07
小5 / 環境問題	SOCIAL_5_U08
小5 / 食料問題	SOCIAL_5_U09
小6 / 日本の歴史（縄文・弥生）	SOCIAL_6_U01
小6 / 古墳時代	SOCIAL_6_U02
小6 / 奈良時代	SOCIAL_6_U03
小6 / 平安時代	SOCIAL_6_U04
小6 / 鎌倉時代	SOCIAL_6_U05
小6 / 室町時代	SOCIAL_6_U06
小6 / 安土桃山時代	SOCIAL_6_U07
小6 / 江戸時代	SOCIAL_6_U08
小6 / 明治時代	SOCIAL_6_U09
小6 / 大正時代	SOCIAL_6_U10
小6 / 昭和時代	SOCIAL_6_U11
小6 / 日本国憲法	SOCIAL_6_U12
小6 / 国会	SOCIAL_6_U13
小6 / 内閣	SOCIAL_6_U14
小6 / 裁判所	SOCIAL_6_U15
小6 / 地方自治	SOCIAL_6_U16
小6 / 国際社会	SOCIAL_6_U17
中1 / 世界の地域	SOCIAL_7_U01
中1 / 世界の気候	SOCIAL_7_U02
中1 / 世界の人口	SOCIAL_7_U03
中1 / 世界の産業	SOCIAL_7_U04
中1 / アジア	SOCIAL_7_U05
中1 / ヨーロッパ	SOCIAL_7_U06
中1 / アフリカ	SOCIAL_7_U07
中1 / 北アメリカ	SOCIAL_7_U08
中1 / 南アメリカ	SOCIAL_7_U09
中1 / オセアニア	SOCIAL_7_U10
中1 / 日本の地域	SOCIAL_7_U11
中1 / 日本の自然	SOCIAL_7_U12
中1 / 日本の人口	SOCIAL_7_U13
中1 / 日本の産業	SOCIAL_7_U14
中2 / 古代文明	SOCIAL_8_U01
中2 / ギリシャ・ローマ	SOCIAL_8_U02
中2 / 日本の古代	SOCIAL_8_U03
中2 / 日本の中世	SOCIAL_8_U04
中2 / 日本の近世	SOCIAL_8_U05
中2 / 欧米の近代化	SOCIAL_8_U06
中2 / 明治維新	SOCIAL_8_U07
中2 / 日本の近代化	SOCIAL_8_U08
中2 / 世界大戦	SOCIAL_8_U09
中2 / 現代の日本	SOCIAL_8_U10
中3 / 現代社会	SOCIAL_9_U01
中3 / 人権	SOCIAL_9_U02
中3 / 民主主義	SOCIAL_9_U03
中3 / 日本国憲法	SOCIAL_9_U04
中3 / 国会	SOCIAL_9_U05
中3 / 内閣	SOCIAL_9_U06
中3 / 裁判所	SOCIAL_9_U07
中3 / 地方自治	SOCIAL_9_U08
中3 / 選挙	SOCIAL_9_U09
中3 / 税金	SOCIAL_9_U10
中3 / 市場経済	SOCIAL_9_U11
中3 / 金融	SOCIAL_9_U12
中3 / 労働	SOCIAL_9_U13
中3 / 社会保障	SOCIAL_9_U14
中3 / 国際社会	SOCIAL_9_U15
中3 / 国際協力	SOCIAL_9_U16

## 英語圏 ELA（単元） (32)
小1 / ELA G1: Phonics and Sight Words	NATIVE_ELA_G1
小1 / ELA G1: Long Vowels	NATIVE_ELA_G1_LONG_VOWELS
小1 / ELA G1: Sight Words in Sentences	NATIVE_ELA_G1_SIGHT_WORDS
小1 / ELA G1: Sentences and Story Details	NATIVE_ELA_G1_SENTENCES
小2 / ELA G2: Sentences and Main Idea	NATIVE_ELA_G2
小2 / ELA G2: Prefixes and Suffixes	NATIVE_ELA_G2_PREFIX_SUFFIX
小2 / ELA G2: Reading Details and Vocabulary	NATIVE_ELA_G2_READING
小2 / ELA G2: Reading Fluency and Expression	NATIVE_ELA_G2_FLUENCY
小3 / ELA G3: Reading and Grammar	NATIVE_ELA_G3
小3 / ELA G3: Paragraphs and Word Study	NATIVE_ELA_G3_WRITING
小3 / ELA G3: Inference and Theme	NATIVE_ELA_G3_INFERENCE
小3 / ELA G3: Vocabulary and Context Clues	NATIVE_ELA_G3_VOCAB
小4 / ELA G4: Inference and Theme	NATIVE_ELA_G4_INFERENCE
小4 / ELA G4: Text Structure and Vocabulary	NATIVE_ELA_G4_STRUCTURE
小4 / ELA G4: Point of View	NATIVE_ELA_G4_POINT_OF_VIEW
小4 / ELA G4: Figurative Language	NATIVE_ELA_G4_FIGURATIVE
小5 / ELA G5: Text Analysis	NATIVE_ELA_G5_ANALYSIS
小5 / ELA G5: Opinion and Informative Writing	NATIVE_ELA_G5_WRITING
小5 / ELA G5: Text Evidence	NATIVE_ELA_G5_TEXT_EVIDENCE
小5 / ELA G5: Compare and Contrast	NATIVE_ELA_G5_COMPARE
小6 / ELA G6: Argument and Evidence	NATIVE_ELA_G6_ARGUMENT
小6 / ELA G6: Literature and Figurative Language	NATIVE_ELA_G6_LITERATURE
小6 / ELA G6: Academic Vocabulary	NATIVE_ELA_G6_VOCAB
小6 / ELA G6: Informational Text	NATIVE_ELA_G6_INFORMATIONAL
中1 / ELA G7: Literary Analysis	NATIVE_ELA_G7_ANALYSIS
中1 / ELA G7: Research and Media Literacy	NATIVE_ELA_G7_RESEARCH
中1 / ELA G7: Argument and Claims	NATIVE_ELA_G7_ARGUMENT
中1 / ELA G7: Word Study and Tone	NATIVE_ELA_G7_VOCAB
中2 / ELA G8: Rhetoric and Author Craft	NATIVE_ELA_G8_RHETORIC
中2 / ELA G8: Argument Writing and Source Use	NATIVE_ELA_G8_ARGUMENT
中2 / ELA G8: Media Literacy	NATIVE_ELA_G8_MEDIA
中2 / ELA G8: Literature and Theme	NATIVE_ELA_G8_LITERATURE

## 英語圏 Math（単元） (32)
小1 / Math G1: Number Sense	NATIVE_MATH_G1
小1 / Math G1: Addition and Subtraction within 20	NATIVE_MATH_G1_ADD_SUB_20
小1 / Math G1: Shapes, Time, and Money	NATIVE_MATH_G1_SHAPES
小1 / Math G1: Compare Numbers and Data	NATIVE_MATH_G1_COMPARE
小2 / Math G2: Word Problems	NATIVE_MATH_G2
小2 / Math G2: Place Value	NATIVE_MATH_G2_PLACE_VALUE
小2 / Math G2: Place Value and Measurement	NATIVE_MATH_G2_MEASURE
小2 / Math G2: Addition and Subtraction within 100	NATIVE_MATH_G2_ADD_SUB_100
小3 / Math G3: Multiplication and Fractions	NATIVE_MATH_G3
小3 / Math G3: Fractions on Shapes and Number Lines	NATIVE_MATH_G3_FRACTIONS
小3 / Math G3: Geometry and Data	NATIVE_MATH_G3_GEOMETRY
小3 / Math G3: Division and Equal Groups	NATIVE_MATH_G3_DIVISION
小4 / Math G4: Multi-Digit Operations	NATIVE_MATH_G4_OPERATIONS
小4 / Math G4: Fractions and Decimals	NATIVE_MATH_G4_FRACTIONS
小4 / Math G4: Decimals and Measurement	NATIVE_MATH_G4_DECIMALS
小4 / Math G4: Geometry, Lines, and Angles	NATIVE_MATH_G4_GEOMETRY
